FOODNAME,good,sad,tired,stress
고등어찌개,0,1,0,0
김치찌개,0,0,1,0
꽁치찌개,0,1,0,0
두부전골,0,0,0,0
버섯찌개,0,0,0,0
부대찌개,1,0,0,0
새우젓두부찌개,0,0,0,0
소곱창전골,1,0,0,0
햄김치찌개,1,0,0,0
호박찌개,0,0,0,0
대구찜,0,1,0,0
도미찜,0,1,0,0
동태찜,0,1,0,0
돼지등갈비찜,1,0,0,0
돼지머리고기,1,0,0,0
매운갈비찜,1,0,0,1
문어숙회,0,1,0,0
민어찜,0,1,0,0
병어찜,0,1,0,0
북어찜,0,1,0,0
붕어찜,0,1,1,0
소갈비찜,1,0,0,0
순대,1,0,1,0
아구찜,0,1,0,0
안동찜닭,1,0,1,0
전어찜,0,1,0,0
조기찜,0,1,0,0
참꼬막,0,1,0,0
한방오리백숙,1,0,0,0
해물찜,0,1,0,0
홍어찜,0,1,0,0
갈낙탕,1,0,1,0
곰탕,1,0,1,0
광어매운탕,0,1,0,1
낙지탕,0,1,1,0
대구매운탕,0,1,1,1
대구지리탕,0,1,1,0
메기매운탕,0,1,1,1
복지리탕,0,1,0,0
소탕,1,0,1,0
아구탕,0,1,1,0
어탕,0,1,0,0
연포탕,0,1,0,0
우럭매운탕,0,1,1,1
육탕,1,0,1,0
전복탕,0,1,1,0
조기매운탕,0,1,1,1
짱뚱어탕,0,1,0,0
추어탕,0,1,0,0
해물탕,0,1,0,0
고구마맛탕,0,0,0,0
고구마튀김,0,0,0,0
고추튀김,0,0,0,0
닭튀김,1,0,0,0
등심돈가스,1,0,0,0
모래집튀김,1,0,0,0
미꾸라지튀김,0,1,0,0
생선까스,0,1,0,0
안심돈가스,1,0,0,0
양념치킨,1,0,1,0
쥐포튀김,0,1,0,0
치즈돈가스,1,0,0,0
치킨까스,1,0,0,0
대구포,0,0,0,0
북어포,0,0,0,0
매작과,0,0,0,1
산자,0,0,0,1
송화다식,0,0,0,1
약과,0,0,0,1
유과,0,0,0,1
글램핑 바비큐 오리지널 L,0,0,1,0
글램핑 바비큐 나폴리M,0,0,1,0
글램핑 바비큐 나폴리L,0,0,1,0
글램핑 바비큐 씬 M,0,0,1,0
글램핑 바비큐 씬 L,0,0,1,0
글램핑 바비큐 슈퍼시드 함유 도우M,0,0,1,0
글램핑 바비큐 슈퍼시드 함유 도우L,0,0,1,0
글램핑 바비큐 더블치즈엣지 오리지널 M,0,0,1,0
글램핑 바비큐 더블치즈엣지 오리지널 L,0,0,1,0
더블크러스트 이베리코 더블 크러스트 L,0,0,1,0
더블크러스트 이베리코 더블 크러스트 M,0,0,1,0
리얼불고기 오리지널 L,0,0,1,0
리얼불고기 오리지널 M,0,0,1,0
리얼불고기 나폴리L,0,0,1,0
리얼불고기 나폴리M,0,0,1,0
리얼불고기 씬 L,0,0,1,0
리얼불고기 씬 M,0,0,1,0
리얼불고기 슈퍼시드 함유 도우L,0,0,1,0
리얼불고기 슈퍼시드 함유 도우M,0,0,1,0
리얼불고기 더블치즈엣지 오리지널 L,0,0,1,0
리얼불고기 더블치즈엣지 오리지널 M,0,0,1,0
문어밤 슈림프 오리지널 L,0,0,1,0
문어밤 슈림프 오리지널 M,0,0,1,0
문어밤 슈림프 나폴리L,0,0,1,0
문어밤 슈림프 나폴리M,0,0,1,0
문어밤 슈림프 씬 L,0,0,1,0
문어밤 슈림프 씬 M,0,0,1,0
문어밤 슈림프 슈퍼시드 함유 도우L,0,0,1,0
문어밤 슈림프 슈퍼시드 함유 도우M,0,0,1,0
문어밤 슈림프 더블치즈엣지 오리지널 L,0,0,1,0
문어밤 슈림프 더블치즈엣지 오리지널 M,0,0,1,0
베스트 콰트로 오리지널 L,0,0,1,0
베스트 콰트로 오리지널 M,0,0,1,0
베스트 콰트로 나폴리L,0,0,1,0
베스트 콰트로 나폴리M,0,0,1,0
베스트 콰트로 씬 L,0,0,1,0
베스트 콰트로 씬 M,0,0,1,0
베스트 콰트로 슈퍼시드 함유 도우L,0,0,1,0
베스트 콰트로 슈퍼시드 함유 도우M,0,0,1,0
베스트 콰트로 더블치즈엣지 오리지널 L,0,0,1,0
베스트 콰트로 더블치즈엣지 오리지널 M,0,0,1,0
베이컨체더치즈 오리지널 L,0,0,1,0
베이컨체더치즈 오리지널 M,0,0,1,0
베이컨체더치즈 나폴리L,0,0,1,0
베이컨체더치즈 나폴리M,0,0,1,0
베이컨체더치즈 씬 L,0,0,1,0
베이컨체더치즈 씬 M,0,0,1,0
베이컨체더치즈 슈퍼시드 함유 도우L,0,0,1,0
베이컨체더치즈 슈퍼시드 함유 도우M,0,0,1,0
베이컨체더치즈 더블치즈엣지 오리지널 L,0,0,1,0
베이컨체더치즈 더블치즈엣지 오리지널 M,0,0,1,0
불고기 오리지널 L,0,0,1,0
불고기 오리지널 M,0,0,1,0
불고기 나폴리L,0,0,1,0
불고기 나폴리M,0,0,1,0
불고기 씬 L,0,0,1,0
불고기 씬 M,0,0,1,0
불고기 슈퍼시드 함유 도우L,0,0,1,0
불고기 슈퍼시드 함유 도우M,0,0,1,0
불고기 더블치즈엣지 오리지널 L,0,0,1,0
불고기 더블치즈엣지 오리지널 M,0,0,1,0
블랙앵거스 스테이크 오리지널 L,0,0,1,0
블랙앵거스 스테이크 오리지널 M,0,0,1,0
블랙앵거스 스테이크 나폴리L,0,0,1,0
블랙앵거스 스테이크 나폴리M,0,0,1,0
블랙앵거스 스테이크 씬 L,0,0,1,0
블랙앵거스 스테이크 씬 M,0,0,1,0
블랙앵거스 스테이크 슈퍼시드 함유 도우L,0,0,1,0
블랙앵거스 스테이크 슈퍼시드 함유 도우M,0,0,1,0
블랙앵거스 스테이크 더블치즈엣지 오리지널 L,0,0,1,0
